"Label (Grouping)","Total:","Total:!!Less than $10,000","Total:!!$10,000 to $14,999","Total:!!$15,000 to $19,999","Total:!!$20,000 to $24,999","Total:!!$25,000 to $29,999","Total:!!$30,000 to $34,999","Total:!!$35,000 to $39,999","Total:!!$40,000 to $44,999","Total:!!$45,000 to $49,999","Total:!!$50,000 to $59,999","Total:!!$60,000 to $74,999","Total:!!$75,000 to $99,999","Total:!!$100,000 to $124,999","Total:!!$125,000 to $149,999","Total:!!$150,000 to $199,999","Total:!!$200,000 or more"
"Alabama","","","","","","","","","","","","","","","","",""
"    Estimate","2,051,545","130,957","99,280","88,738","96,281","87,984","93,707","82,870","81,448","70,579","154,101","199,937","270,411","195,801","124,823","137,002","137,626"
"    Margin of Error","±10,192","±6,403","±6,615","±4,560","±6,033","±5,009","±5,782","±5,334","±4,143","±4,054","±7,026","±8,802","±10,299","±6,988","±5,763","±6,351","±5,812"
"Alaska","","","","","","","","","","","","","","","","",""
"    Estimate","276,852","11,341","6,928","7,972","7,731","7,756","7,191","10,667","9,878","8,693","14,889","27,095","36,700","29,780","23,992","28,927","37,312"
"    Margin of Error","±3,294","±1,741","±1,332","±1,355","±1,102","±1,383","±1,388","±1,581","±1,457","±1,600","±2,031","±3,198","±2,915","±3,014","±2,305","±2,681","±3,126"
"Arizona","","","","","","","","","","","","","","","","",""
"    Estimate","2,907,014","160,451","85,283","74,364","97,012","92,637","101,807","96,428","113,458","104,013","205,306","278,712","391,588","309,574","214,816","266,367","315,198"
"    Margin of Error","±12,227","±8,420","±6,623","±5,234","±6,055","±6,262","±6,413","±5,627","±6,871","±6,964","±9,623","±9,256","±11,630","±10,311","±7,562","±8,704","±11,443"
"Arkansas","","","","","","","","","","","","","","","","",""
"    Estimate","1,232,871","78,121","64,077","51,620","59,894","50,559","64,685","58,767","50,416","48,343","101,092","123,797","154,382","113,988","65,990","69,636","77,504"
"    Margin of Error","±8,404","±5,109","±4,788","±4,028","±4,380","±4,056","±4,502","±3,903","±4,131","±4,074","±4,451","±5,655","±6,352","±5,865","±4,519","±4,295","±4,100"
"California","","","","","","","","","","","","","","","","",""
"    Estimate","13,699,816","657,876","407,387","311,130","394,890","349,250","385,748","373,038","391,914","356,847","737,552","1,115,488","1,630,978","1,402,119","1,038,320","1,535,002","2,612,277"
"    Margin of Error","±20,966","±14,290","±10,855","±11,128","±12,164","±11,452","±12,516","±11,139","±11,749","±10,038","±14,789","±21,997","±21,745","±20,874","±17,819","±20,150","±26,234"
"Colorado","","","","","","","","","","","","","","","","",""
"    Estimate","2,428,261","101,407","60,789","52,731","66,734","59,722","64,101","63,602","76,004","66,081","149,932","216,736","315,738","263,810","199,185","286,101","385,588"
"    Margin of Error","±9,051","±5,916","±5,047","±3,964","±5,070","±4,538","±5,007","±5,012","±4,504","±4,356","±8,388","±8,617","±10,131","±9,325","±8,176","±8,985","±9,436"
"Connecticut","","","","","","","","","","","","","","","","",""
"    Estimate","1,442,969","70,589","45,746","38,061","42,753","39,947","41,390","37,830","47,641","36,567","80,152","120,210","175,133","144,760","111,465","158,263","252,462"
"    Margin of Error","±7,955","±5,951","±4,748","±3,902","±4,037","±4,437","±3,695","±3,898","±4,487","±3,498","±4,867","±6,162","±7,401","±7,159","±5,330","±6,505","±6,910"
"Delaware","","","","","","","","","","","","","","","","",""
"    Estimate","412,048","16,468","11,975","11,074","10,246","13,256","13,509","14,933","15,937","15,622","28,512","38,682","55,605","44,974","29,724","43,294","48,237"
"    Margin of Error","±3,896","±2,705","±2,207","±1,449","±1,606","±2,141","±1,917","±2,448","±1,819","±2,525","±3,128","±3,848","±4,097","±3,581","±2,604","±3,953","±3,445"
"District of Columbia","","","","","","","","","","","","","","","","",""
"    Estimate","334,673","26,386","9,776","9,691","6,239","3,009","7,377","4,038","7,536","7,947","15,556","25,667","34,061","27,535","22,489","40,721","86,645"
"    Margin of Error","±3,520","±3,383","±1,928","±2,725","±1,940","±1,246","±1,742","±1,001","±1,771","±2,361","±2,815","±4,268","±3,569","±3,269","±2,867","±4,858","±4,031"
"Florida","","","","","","","","","","","","","","","","",""
"    Estimate","8,966,402","484,044","292,487","265,183","311,761","312,447","347,002","328,439","348,511","323,580","646,736","913,369","1,182,775","919,812","620,350","721,731","948,175"
"    Margin of Error","±20,449","±13,990","±10,666","±11,248","±11,473","±10,753","±11,684","±11,377","±12,537","±11,334","±15,886","±18,424","±18,890","±19,340","±14,991","±14,031","±17,443"
"Georgia","","","","","","","","","","","","","","","","",""
"    Estimate","4,150,138","245,347","147,357","126,221","154,621","130,172","156,178","149,191","159,789","134,889","282,225","396,921","526,772","425,535","302,052","355,709","457,159"
"    Margin of Error","±14,424","±10,482","±7,641","±6,773","±7,836","±6,108","±8,716","±6,082","±7,634","±6,914","±10,102","±11,367","±14,747","±12,303","±9,984","±9,956","±10,742"
"Hawaii","","","","","","","","","","","","","","","","",""
"    Estimate","493,898","22,525","14,137","10,151","14,422","11,366","14,109","11,868","12,936","12,835","25,881","44,035","61,829","52,604","45,025","56,111","84,064"
"    Margin of Error","±5,757","±2,708","±1,658","±1,536","±2,381","±1,869","±2,001","±1,908","±1,952","±1,854","±2,601","±3,558","±3,690","±3,876","±3,397","±3,367","±3,589"
"Idaho","","","","","","","","","","","","","","","","",""
"    Estimate","733,244","28,242","19,521","20,811","23,724","24,493","29,124","27,726","30,859","25,743","56,371","80,280","104,076","82,679","54,132","62,179","63,284"
"    Margin of Error","±4,856","±2,884","±2,068","±2,255","±2,874","±2,767","±2,968","±2,585","±2,710","±2,455","±3,935","±3,991","±5,015","±4,607","±3,641","±3,881","±3,502"
"Illinois","","","","","","","","","","","","","","","","",""
"    Estimate","5,071,288","285,290","174,777","141,900","158,301","150,976","178,839","161,657","183,388","163,492","321,674","473,375","631,358","544,123","374,573","488,431","639,134"
"    Margin of Error","±14,337","±10,327","±8,397","±6,695","±6,960","±6,587","±7,344","±7,405","±8,393","±7,096","±10,749","±12,538","±14,077","±12,564","±11,076","±9,952","±15,467"
"Indiana","","","","","","","","","","","","","","","","",""
"    Estimate","2,754,881","144,064","97,237","87,028","106,372","102,439","113,975","109,490","112,525","100,187","217,400","296,912","374,270","280,570","190,750","213,577","208,085"
"    Margin of Error","±9,894","±6,612","±6,041","±5,608","±5,130","±5,266","±6,517","±5,810","±5,576","±5,918","±9,502","±9,661","±9,592","±8,557","±7,320","±7,417","±7,437"
"Iowa","","","","","","","","","","","","","","","","",""
"    Estimate","1,337,243","56,624","44,300","42,629","47,847","48,766","58,292","53,163","58,083","51,466","99,048","138,790","188,967","140,664","97,626","110,743","100,235"
"    Margin of Error","±6,646","±3,982","±2,968","±3,511","±3,523","±3,149","±4,045","±3,688","±3,646","±3,629","±4,714","±5,300","±6,970","±5,023","±4,667","±3,986","±5,159"
"Kansas","","","","","","","","","","","","","","","","",""
"    Estimate","1,188,340","54,323","38,137","37,858","45,891","44,714","52,305","45,495","51,326","47,639","89,319","123,248","161,598","122,232","82,454","94,570","97,231"
"    Margin of Error","±5,857","±4,557","±3,609","±3,814","±3,586","±3,761","±3,581","±3,511","±3,666","±3,343","±5,161","±5,517","±5,486","±5,704","±4,049","±4,344","±4,633"
"Kentucky","","","","","","","","","","","","","","","","",""
"    Estimate","1,853,603","125,182","95,991","80,070","84,356","75,021","79,077","79,030","82,498","75,125","131,528","186,183","232,750","177,559","110,193","118,773","120,267"
"    Margin of Error","±7,950","±5,974","±5,129","±5,154","±4,981","±5,283","±5,358","±4,901","±5,047","±4,379","±5,860","±7,490","±7,381","±6,831","±4,922","±5,226","±5,354"
"Louisiana","","","","","","","","","","","","","","","","",""
"    Estimate","1,833,915","140,781","112,663","79,454","89,575","78,697","82,225","75,939","80,057","71,123","123,653","169,943","219,220","157,483","101,089","124,320","127,693"
"    Margin of Error","±8,374","±6,295","±5,745","±5,354","±5,573","±4,432","±5,480","±5,155","±5,489","±5,304","±6,584","±7,111","±9,255","±6,944","±5,101","±6,632","±5,522"
