County,EV_Count,Population,Median_Income,Station_Count,EV_Count_Norm,Pop_Norm,Gap
Adams,35,100000,50000,,0.0005762809539144731,0.0,
Alameda,2,100000,50000,,1.6949439821013915e-05,0.0,
Alexandria,8,100000,50000,,0.00011864607874709741,0.0,
Allegheny,1,100000,50000,,0.0,0.0,
Anne Arundel,9,100000,50000,,0.00013559551856811132,0.0,
Arapahoe,1,100000,50000,,0.0,0.0,
Arlington,1,100000,50000,,0.0,0.0,
Asotin,48,100000,50000,,0.000796623671587654,0.0,
Bartow,1,100000,50000,,0.0,0.0,
Beaufort,1,100000,50000,,0.0,0.0,
Bell,1,100000,50000,,0.0,0.0,
Benton,1376,100000,50000,,0.02330547975389413,0.0,
Bexar,6,100000,50000,,8.474719910506957e-05,0.0,
Boulder,1,100000,50000,,0.0,0.0,
Bryan,1,100000,50000,,0.0,0.0,
Burlington,2,100000,50000,,1.6949439821013915e-05,0.0,
Calvert,2,100000,50000,,1.6949439821013915e-05,0.0,
Camden,1,100000,50000,,0.0,0.0,
Carroll,2,100000,50000,,1.6949439821013915e-05,0.0,
Charles,1,100000,50000,,0.0,0.0,
Charleston,1,100000,50000,,0.0,0.0,
Chaves,1,100000,50000,,0.0,0.0,
Chelan,654,100000,50000,,0.011067984203122086,0.0,
Chesapeake,3,100000,50000,,3.389887964202783e-05,0.0,
Clackamas,1,100000,50000,,0.0,0.0,
Clallam,731,100000,50000,,0.012373091069340158,0.0,
Clark,6689,100000,50000,,0.11335785352294106,0.0,
Columbia,14,100000,50000,,0.00022034271767318092,0.0,
Contra Costa,3,100000,50000,,3.389887964202783e-05,0.0,
Cook,1,100000,50000,,0.0,0.0,
Cowlitz,569,100000,50000,,0.009627281818335904,0.0,
Cumberland,4,100000,50000,,5.0848319463041746e-05,0.0,
Danville,1,100000,50000,,0.0,0.0,
DeKalb,1,100000,50000,,0.0,0.0,
Denton,1,100000,50000,,0.0,0.0,
District of Columbia,6,100000,50000,,8.474719910506957e-05,0.0,
Dorchester,1,100000,50000,,0.0,0.0,
Douglas,227,100000,50000,,0.003830573399549145,0.0,
El Paso,5,100000,50000,,6.779775928405566e-05,0.0,
Elmore,1,100000,50000,,0.0,0.0,
Fairbanks North Star,1,100000,50000,,0.0,0.0,
Fairfax,6,100000,50000,,8.474719910506957e-05,0.0,
Ferry,27,100000,50000,,0.0004406854353463618,0.0,
Franklin,365,100000,50000,,0.006169596094849065,0.0,
Frederick,2,100000,50000,,1.6949439821013915e-05,0.0,
Galveston,1,100000,50000,,0.0,0.0,
Garfield,4,100000,50000,,5.0848319463041746e-05,0.0,
Geary,1,100000,50000,,0.0,0.0,
Grant,335,100000,50000,,0.005661112900218647,0.0,
Grays Harbor,403,100000,50000,,0.006813674808047594,0.0,
Hamilton,2,100000,50000,,1.6949439821013915e-05,0.0,
Harris,1,100000,50000,,0.0,0.0,
Harrison,1,100000,50000,,0.0,0.0,
Hennepin,1,100000,50000,,0.0,0.0,
Hidalgo,1,100000,50000,,0.0,0.0,
Hillsborough,1,100000,50000,,0.0,0.0,
Hoke,1,100000,50000,,0.0,0.0,
Honolulu,3,100000,50000,,3.389887964202783e-05,0.0,
Houston,1,100000,50000,,0.0,0.0,
Howard,1,100000,50000,,0.0,0.0,
Island,1307,100000,50000,,0.022135968406244173,0.0,
Jackson,1,100000,50000,,0.0,0.0,
Jefferson,699,100000,50000,,0.011830708995067713,0.0,
Kauai,1,100000,50000,,0.0,0.0,
Kent,1,100000,50000,,0.0,0.0,
